participant_id;mode;timestamp_end;duration;age_range;gender;education;job_function;experience;email_frequency;prior_training;device;P1_answer;P1_correct;P1_confidence;P1_cues;P1_time;P2_answer;P2_correct;P2_confidence;P2_cues;P2_time;P3_answer;P3_correct;P3_confidence;P3_cues;P3_time;P4_answer;P4_correct;P4_confidence;P4_cues;P4_time;L1_answer;L1_correct;L1_confidence;L1_cues;L1_time;L2_answer;L2_correct;L2_confidence;L2_cues;L2_time;L3_answer;L3_correct;L3_confidence;L3_cues;L3_time;L4_answer;L4_correct;L4_confidence;L4_cues;L4_time;P5_answer;P5_correct;P5_confidence;P5_cues;P5_time;P6_answer;P6_correct;P6_confidence;P6_cues;P6_time;P7_answer;P7_correct;P7_confidence;P7_cues;P7_time;P8_answer;P8_correct;P8_confidence;P8_cues;P8_time;L5_answer;L5_correct;L5_confidence;L5_cues;L5_time;L6_answer;L6_correct;L6_confidence;L6_cues;L6_time;L7_answer;L7_correct;L7_confidence;L7_cues;L7_time;L8_answer;L8_correct;L8_confidence;L8_cues;L8_time;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;phase1_accuracy;phase1_phishing_accuracy;phase1_legit_accuracy;phase2_accuracy;phase2_phishing_accuracy;phase2_legit_accuracy;phase1_avg_confidence;phase2_avg_confidence;phase1_cue_accuracy;excluded_IT;completed
aa7aee29;a;[redacted];628;25–34 tahun;;SMA / Sederajat;Pemasaran / Sales;6-10 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A|C;57.6;phishing;1;5;B|C;49.7;phishing;1;5;A|C|D;91.2;legitimate;0;4;;24.2;legitimate;1;6;;13;phishing;0;4;;27.4;phishing;0;7;;25.9;phishing;0;3;;29.3;phishing;1;7;;10.5;phishing;1;5;;22.4;legitimate;0;5;;13.7;legitimate;0;7;;54.3;legitimate;1;7;;5.6;legitimate;1;4;;10.4;phishing;0;7;;7.7;legitimate;1;7;;16.7;4;3;6;4;3;1;6;Email terverifikasi atau didaknya;0.5;0.75;0.25;0.62;0.5;0.75;5;6.12;1;No;Yes
c1093865;b;[redacted];441;25–34 tahun;;SMA / Sederajat;Pemasaran / Sales;Kurang dari 1 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;7;A|C;23.2;phishing;1;7;A|C;24.4;phishing;1;7;A|D;21.8;phishing;1;7;A|D;14.2;legitimate;1;5;;11.8;legitimate;1;7;;33;legitimate;1;4;;25.4;legitimate;1;6;;22.6;legitimate;0;4;;14.5;phishing;1;6;;15.7;phishing;1;5;;8.5;legitimate;0;6;;9.2;legitimate;1;7;;6.4;legitimate;1;6;;7.6;legitimate;1;5;;16.9;legitimate;1;5;;28.5;7;6;5;6;5;2;7;;1;1;1;0.75;0.5;1;6.25;5.5;1;No;Yes
a4b14f34;a;[redacted];1135;34–44 tahun;;Sarjana (S1);Administrasi / Sekretariat;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Komputer Desktop;phishing;1;5;A;40.6;phishing;1;4;A;56.8;phishing;1;3;A;20.1;phishing;1;5;A;39;phishing;0;3;;46.8;phishing;0;4;;103.8;phishing;0;4;;67.4;legitimate;1;3;;30.6;phishing;1;3;;7.8;phishing;1;3;;9.6;phishing;1;4;;8.9;legitimate;0;3;;44;legitimate;1;4;;26.9;phishing;0;3;;11;phishing;0;3;;47;legitimate;1;5;;16.4;4;3;4;3;3;3;4;"peringatan email membantu, namun setiap email yang ada tautan web masih ragu.
jika ada peringatan tautan web akan lebih membantu.";0.62;1;0.25;0.62;0.75;0.5;3.88;3.5;1;No;Yes
5c6f4c46;a;[redacted];1180;25–34 tahun;;Sarjana (S1);Operasional / Logistik;1–2 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;62.8;phishing;1;5;C;110.8;phishing;1;2;A|C;102.6;phishing;1;6;B;90.8;legitimate;1;6;;41.7;legitimate;1;6;;117;legitimate;1;6;;52.9;legitimate;1;6;;26;phishing;1;5;;38.4;phishing;1;6;;32.1;phishing;1;7;;19.6;phishing;1;6;;26.6;legitimate;1;6;;33.6;legitimate;1;7;;28.8;legitimate;1;7;;28.5;legitimate;1;7;;32.9;6;5;6;5;6;4;4;tidak menjelaskan apa yang menjadikan email tersebut aman, mencurigakan atau tidak aman;1;1;1;1;1;1;5.38;6.38;0.75;No;Yes
4a320214;a;[redacted];819;34–44 tahun;;SMA / Sederajat;Layanan Pelanggan;6-10 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;25.2;phishing;1;6;B;41.9;phishing;1;6;A;73.9;phishing;1;6;B;31.7;legitimate;1;6;;31.7;legitimate;1;6;;25.5;legitimate;1;6;;23.8;legitimate;1;6;;40.4;phishing;1;6;;23.9;phishing;1;6;;21.8;legitimate;0;6;;34.2;phishing;1;6;;117.2;legitimate;1;6;;13.5;legitimate;1;6;;19.8;legitimate;1;6;;20;legitimate;1;6;;29.1;6;6;6;6;6;5;6;;1;1;1;0.88;0.75;1;6;6;1;No;Yes
d6e22805;a;[redacted];520;25–34 tahun;Perempuan;Sarjana (S1);Administrasi / Sekretariat;3–5 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;legitimate;0;5;;50.3;phishing;1;5;B;49.6;legitimate;0;5;;21.8;legitimate;0;5;C;66.5;legitimate;1;6;;15.1;legitimate;1;6;;37.8;legitimate;1;7;;14.1;legitimate;1;7;;8.8;phishing;1;6;;10.3;legitimate;0;4;;12;phishing;1;5;;6.4;phishing;1;6;;8.9;legitimate;1;7;;9.9;legitimate;1;6;;7.7;legitimate;1;4;;14.4;legitimate;1;6;;20;6;4;6;4;4;2;6;;0.62;0.25;1;0.88;0.75;1;5.75;5.5;0.5;No;Yes
9419e573;a;[redacted];592;25–34 tahun;;Sarjana (S1);Akademik / Pengajaran;6-10 tahun;Jarang (kurang dari 5 email per hari);Ya;Smartphone / HP;phishing;1;7;A;22.3;phishing;1;5;A;67.3;phishing;1;7;A;45.5;phishing;1;7;A;41;legitimate;1;6;;29.6;phishing;0;6;;38.8;legitimate;1;6;;36.2;legitimate;1;7;;7.2;phishing;1;7;;7.4;phishing;1;6;;7.7;phishing;1;7;;7.1;phishing;1;6;;50.2;legitimate;1;7;;10.3;legitimate;1;6;;15.2;legitimate;1;7;;13.7;legitimate;1;7;;11.7;7;7;5;5;6;5;6;Ada tombol cuma kita tidak tahu hyperlinknya kemana jadi rada bingung untuk memastikan ini pishing atau bukan;0.88;1;0.75;1;1;1;6.38;6.62;1;No;Yes
8afd9094;b;[redacted];965;25–34 tahun;;Diploma (D1–D3);Perekam medis;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;7;A|B|C|D;31.1;phishing;1;7;A|B|C|D;31.3;phishing;1;7;A|B|C|D;55.3;phishing;1;7;A|B|C|D;84.6;legitimate;1;7;;25;legitimate;1;7;;9.1;legitimate;1;7;;22.7;legitimate;1;7;;18;legitimate;0;7;;28;phishing;1;5;;25.6;phishing;1;5;;152;legitimate;0;5;;58.8;legitimate;1;7;;14.8;legitimate;1;7;;19.7;legitimate;1;7;;64.3;legitimate;1;7;;17.9;6;6;7;7;7;7;7;Penjelasannya sangat bagus;1;1;1;0.75;0.5;1;7;6.25;1;No;Yes
0c983860;a;[redacted];420;25–34 tahun;;Sarjana (S1);Manager area;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;legitimate;0;7;;32.3;phishing;1;7;A;16.9;legitimate;0;4;;26.2;legitimate;0;4;;51.3;legitimate;1;1;;24.6;phishing;0;5;;26.6;legitimate;1;7;;16.8;legitimate;1;1;;43.1;legitimate;0;7;;8.4;phishing;1;5;;5.4;phishing;1;4;;13.1;legitimate;0;7;;11.1;legitimate;1;7;;6.5;legitimate;1;7;;11.2;legitimate;1;7;;7.6;legitimate;1;7;;8.1;1;1;5;3;5;3;5;;0.5;0.25;0.75;0.75;0.5;1;4.5;6.38;1;No;Yes
685ac364;b;[redacted];532;25–34 tahun;;Sarjana (S1);Pemasaran / Sales;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Laptop;phishing;1;6;A|B;25.5;phishing;1;6;B;17.7;phishing;1;6;A|B;80.6;phishing;1;6;B;10.4;legitimate;1;6;;6.6;legitimate;1;5;;18.7;legitimate;1;5;;26.1;legitimate;1;6;;15.5;phishing;1;5;;24.8;phishing;1;5;;18.9;legitimate;0;5;;47.9;legitimate;0;5;;13.2;legitimate;1;5;;14.9;legitimate;1;6;;7.2;legitimate;1;6;;9.4;legitimate;1;6;;12.3;6;5;6;5;5;5;4;;1;1;1;0.75;0.5;1;5.75;5.38;1;No;Yes
0d6b6ded;b;[redacted];414;34–44 tahun;;Sarjana (S1);Manajemen / Eksekutif;Lebih dari 10 tahun;Sering (lebih dari 20 email per hari);Tidak;Laptop;phishing;1;6;A;14.8;phishing;1;6;B;23.1;phishing;1;6;C|D;15;phishing;1;6;A;61.2;legitimate;1;6;;10.6;phishing;0;1;;37.6;legitimate;1;6;;9.9;legitimate;1;7;;6.3;phishing;1;3;;11.2;legitimate;0;4;;15.9;phishing;1;3;;11.8;legitimate;0;4;;18.6;phishing;0;4;;15.2;legitimate;1;6;;5.5;legitimate;1;6;;8.8;legitimate;1;4;;15;5;4;6;3;4;2;4;cukup;0.88;1;0.75;0.62;0.5;0.75;5.5;4.25;0.75;No;Yes
c9bd0d20;a;[redacted];1923;25–34 tahun;;Sarjana (S1);Administrasi / Sekretariat;6-10 tahun;Sedang (5–20 email per hari);Tidak;Laptop;phishing;1;4;A|B;158;phishing;1;5;B;60.2;phishing;1;4;A|C|D;92;legitimate;0;5;B;209.7;legitimate;1;6;;26.1;legitimate;1;5;;29;legitimate;1;5;;10.2;legitimate;1;5;;20.6;legitimate;0;4;;54.4;phishing;1;4;;18.3;legitimate;0;4;;25.2;legitimate;0;4;;32.4;legitimate;1;6;;24.1;legitimate;1;6;;17.1;legitimate;1;3;;609.8;phishing;0;3;;44.4;5;5;6;5;5;4;6;"Dengan adanya kuesioner ini, saya jadi lebih teringat untuk lebih waspada terhadap email yang masuk, terutama email yang perlu dicurigai sebagai potensi phishing atau penipuan.

Namun, terkadang saya masih merasa bingung ketika menerima email dari pihak atau perusahaan yang belum pernah berkomunikasi dengan saya sebelumnya, sehingga saya perlu lebih teliti dalam memastikan keaslian dan kredibilitas email tersebut sebelum menindaklanjutinya.";0.88;0.75;1;0.5;0.25;0.75;4.88;4.25;1;No;Yes
8ff5ad12;b;[redacted];457;34–44 tahun;Perempuan;Diploma (D1–D3);Operasional / Logistik;Lebih dari 10 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;21;phishing;1;1;A;52.8;phishing;1;6;A;10.4;phishing;1;6;A;12;legitimate;1;6;;61.7;legitimate;1;6;;13.8;legitimate;1;6;;10.9;legitimate;1;6;;15;phishing;1;6;;10.5;phishing;1;6;;6.7;phishing;1;6;;21.5;legitimate;0;6;;13.7;legitimate;1;6;;8;legitimate;1;6;;6.7;phishing;0;6;;14.1;legitimate;1;6;;7.7;6;6;6;6;6;6;6;tidak ada;1;1;1;0.75;0.75;0.75;5.38;6;1;No;Yes
1f6030c5;b;[redacted];823;25–34 tahun;Perempuan;Sarjana (S1);Administrasi / Sekretariat;Kurang dari 1 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;7;A;48.3;phishing;1;7;A;9.7;phishing;1;6;A;31.2;phishing;1;7;A;105.1;legitimate;1;7;;52.5;legitimate;1;7;;35.4;legitimate;1;7;;9;legitimate;1;7;;111.8;phishing;1;6;;38.8;phishing;1;6;;26.5;phishing;1;6;;30.5;phishing;1;6;;28.6;legitimate;1;6;;27.3;legitimate;1;6;;33.1;legitimate;1;6;;28.1;legitimate;1;6;;30.9;6;6;6;6;6;6;6;;1;1;1;1;1;1;6.88;6;1;No;Yes
908a7453;a;[redacted];559;25–34 tahun;Laki-laki;Sarjana (S1);Administrasi / Sekretariat;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Komputer Desktop;phishing;1;7;A|B;78.6;phishing;1;7;A|B|C|D;24.9;phishing;1;7;A|B;30.2;phishing;1;7;A|B|C|D;43.3;legitimate;1;7;;17.9;legitimate;1;7;;8.8;legitimate;1;7;;21.9;legitimate;1;7;;8.1;phishing;1;7;;20;phishing;1;7;;27.8;phishing;1;7;;27;phishing;1;7;;7.4;legitimate;1;7;;12.3;legitimate;1;6;;13.7;legitimate;1;7;;18.8;legitimate;1;7;;16;7;7;7;7;7;5;7;Tidak ada. Semua membantu untuk identifkasi email physing dengan baik.;1;1;1;1;1;1;7;6.88;1;No;Yes
55e9e63e;a;[redacted];1646;25–34 tahun;Laki-laki;Sarjana (S1);HR / Personalia;3–5 tahun;Sedang (5–20 email per hari);Tidak;Komputer Desktop;phishing;1;3;B;43.6;phishing;1;2;B|C|D;20.8;phishing;1;3;A|C|D;62.2;phishing;1;2;A|B|C|D;17.4;legitimate;1;5;;18.5;legitimate;1;6;;15.3;legitimate;1;6;;23.8;legitimate;1;6;;6.8;phishing;1;2;;5.3;phishing;1;2;;6.4;phishing;1;2;;1291.4;legitimate;0;5;;9.4;legitimate;1;6;;6.8;legitimate;1;6;;12.7;legitimate;1;6;;6;legitimate;1;7;;13.3;4;4;4;4;4;4;4;;1;1;1;0.88;0.75;1;4.12;4.5;1;No;Yes
d6c92b12;a;[redacted];760;25–34 tahun;Perempuan;Sarjana (S1);Layanan Pelanggan;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;1;B|D;39.3;phishing;1;4;A|B|C|D;89.6;phishing;1;3;B|D;54.8;phishing;1;3;A|B|C|D;29.3;phishing;0;4;;92.6;legitimate;1;6;;24.4;legitimate;1;6;;13.7;legitimate;1;6;;14.4;legitimate;0;5;;15.2;phishing;1;1;;9.1;phishing;1;3;;10.8;legitimate;0;4;;11.7;legitimate;1;6;;43.1;legitimate;1;6;;10.5;legitimate;1;6;;34.7;legitimate;1;4;;12.9;6;6;6;4;4;4;5;Sebagian besar sangat membantu dan mudah di mengerti;0.88;1;0.75;0.75;0.5;1;4.12;4.38;1;No;Yes
d4d4b315;a;[redacted];2498;25–34 tahun;Perempuan;Sarjana (S1);Administrasi / Sekretariat;3–5 tahun;Sedang (5–20 email per hari);Tidak;Laptop;phishing;1;7;A|B;120.7;phishing;1;7;B;39.8;phishing;1;7;A|B|D;149.8;phishing;1;6;B|C;959.6;legitimate;1;7;;12.7;phishing;0;5;;20.5;legitimate;1;7;;52.3;legitimate;1;7;;9.4;legitimate;0;7;;22.3;legitimate;0;7;;9.2;legitimate;0;7;;552.9;legitimate;0;7;;15.1;legitimate;1;7;;9.5;legitimate;1;7;;10.5;legitimate;1;7;;11.3;legitimate;1;7;;13.6;7;7;7;4;7;3;7;;0.88;1;0.75;0.5;0;1;6.62;7;1;No;Yes
92000d5f;a;[redacted];586;25–34 tahun;Perempuan;Sarjana (S1);Akademik / Pengajaran;3–5 tahun;Jarang (kurang dari 5 email per hari);Ya;Smartphone / HP;legitimate;0;3;;132.2;phishing;1;3;C;16.7;phishing;1;6;A|D;17.2;phishing;1;6;C|D;66.2;legitimate;1;6;;25.2;legitimate;1;6;;16;legitimate;1;6;;17.2;legitimate;1;6;;8.6;legitimate;0;5;;12.8;legitimate;0;6;;17.8;phishing;1;5;;32.6;legitimate;0;5;;14.5;legitimate;1;6;;10.8;legitimate;1;6;;11.8;legitimate;1;6;;14.5;legitimate;1;6;;41.1;2;5;6;5;5;5;5;email domain tidak jelas mana asli atau bukan palsu;0.88;0.75;1;0.62;0.25;1;5.25;5.62;0.33;No;Yes
6252f894;a;[redacted];745;25–34 tahun;Laki-laki;Sarjana (S1);Operasional / Logistik;3–5 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;6;C;45.5;phishing;1;6;A;184.9;phishing;1;7;C;63.3;phishing;1;6;D;50.7;legitimate;1;7;;29.1;legitimate;1;7;;8.4;legitimate;1;7;;9.2;legitimate;1;7;;11.1;legitimate;0;5;;13.8;legitimate;0;6;;16.7;phishing;1;6;;23.2;legitimate;0;5;;21;legitimate;1;6;;9.4;legitimate;1;7;;9.4;legitimate;1;7;;12.7;legitimate;1;6;;6.3;5;6;6;5;6;3;4;;1;1;1;0.62;0.25;1;6.62;6;0.25;No;Yes
de20cc2f;a;[redacted];600;18-24 tahun;Perempuan;SMA / Sederajat;Production House;1–2 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;legitimate;0;5;B|C|D;21.6;phishing;1;3;D;84.3;phishing;1;5;C;19.9;phishing;1;4;B|D;40.2;phishing;0;5;;57.1;phishing;0;5;;14.4;legitimate;1;5;;12;legitimate;1;5;;25.4;legitimate;0;5;;9.4;phishing;1;5;;9.8;phishing;1;5;;13.6;phishing;1;6;;6.3;phishing;0;5;;13.7;legitimate;1;6;;12.4;phishing;0;4;;10.3;legitimate;1;5;;8.9;6;6;6;6;6;6;6;Sistem peringatan membantu saya lebih mudah mengenali ciri-ciri email phishing. Namun, beberapa peringatan masih kurang spesifik sehingga terkadang membingungkan saat membedakan email phishing dengan email yang sah.;0.62;0.75;0.5;0.62;0.75;0.5;4.62;5.12;0.5;No;Yes
04298681;a;[redacted];238;18-24 tahun;Laki-laki;Sarjana (S1);Operasional / Logistik;Kurang dari 1 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;4;B;11.9;phishing;1;4;B;9.7;phishing;1;4;B;7.5;phishing;1;4;B;9.4;legitimate;1;4;;5;legitimate;1;4;;7.2;legitimate;1;7;;5.6;legitimate;1;4;;4.4;legitimate;0;4;;10.5;phishing;1;4;;9.7;phishing;1;4;;20.2;legitimate;0;4;;19;legitimate;1;4;;5.2;legitimate;1;7;;7;legitimate;1;4;;7.4;legitimate;1;4;;9;4;6;7;4;5;4;7;-;1;1;1;0.75;0.5;1;4.38;4.38;1;No;Yes
f09967fd;a;[redacted];535;18-24 tahun;Perempuan;Sarjana (S1);Manajemen / Eksekutif;3–5 tahun;Sedang (5–20 email per hari);Ya;Smartphone / HP;legitimate;0;4;A;28.5;phishing;1;3;A|B;31.8;phishing;1;3;A|C;36.1;phishing;1;3;B;89.6;legitimate;1;4;;11.3;legitimate;1;4;;23.6;legitimate;1;6;;17.3;legitimate;1;4;;15.4;phishing;1;1;;11.4;phishing;1;3;;12.9;legitimate;0;4;;21;legitimate;0;4;;11.5;legitimate;1;4;;12.2;legitimate;1;4;;8.5;legitimate;1;4;;93.7;legitimate;1;4;;7.9;4;4;4;4;4;4;4;;0.88;0.75;1;0.75;0.5;1;3.88;3.5;1;No;Yes
0372ad32;b;[redacted];602;25–34 tahun;Laki-laki;Sarjana (S1);Layanan Pelanggan;3–5 tahun;Sedang (5–20 email per hari);Tidak;Laptop;phishing;1;6;A|B|C;74.4;phishing;1;6;A|B|C;76.8;phishing;1;6;A|B|D;40.9;phishing;1;6;A|B|C|D;57.3;legitimate;1;6;;15.1;legitimate;1;6;;35;legitimate;1;6;;15.1;legitimate;1;6;;17.4;phishing;1;6;;9.9;phishing;1;6;;21.6;phishing;1;6;;24.8;phishing;1;6;;15;legitimate;1;6;;10.8;legitimate;1;6;;6.4;legitimate;1;6;;13.2;legitimate;1;6;;16.6;6;6;6;6;6;6;6;domain email, adanya keterangan waktu, dari segi logo, tata bahasa yg digunakan dan juga adanya tenggat waktu dan ancaman;1;1;1;1;1;1;6;6;1;No;Yes
b98af065;b;[redacted];1763;34–44 tahun;Perempuan;Sarjana (S1);Keuangan / Akuntansi;Lebih dari 10 tahun;Sedang (5–20 email per hari);Tidak;Laptop;phishing;1;2;A;52;legitimate;0;5;B;54.7;phishing;1;5;B;25.7;legitimate;0;4;C;77.3;legitimate;1;4;;22.1;legitimate;1;5;;542.4;legitimate;1;4;;13.8;legitimate;1;5;;11.3;legitimate;0;6;;51.4;phishing;1;5;;15.7;legitimate;0;5;;15.5;phishing;1;3;;15.2;legitimate;1;6;;14.4;legitimate;1;4;;14.3;phishing;0;3;;59.2;legitimate;1;4;;11;6;6;6;6;4;4;4;"penjelasan peringatan yang kurang menekan kepada pembaca 
";0.75;0.5;1;0.62;0.5;0.75;4.25;4.5;0.75;No;Yes
ef220deb;b;[redacted];1957;34–44 tahun;Perempuan;Sarjana (S1);Keuangan / Akuntansi;Lebih dari 10 tahun;Sedang (5–20 email per hari);Tidak;Laptop;phishing;1;6;A|B;24.2;phishing;1;2;A|C;67.7;phishing;1;2;A;41.7;phishing;1;6;A|B|C;20.1;legitimate;1;6;;15.1;legitimate;1;6;;38.6;legitimate;1;6;;9.9;legitimate;1;6;;13.8;phishing;1;6;;22.1;legitimate;0;5;;18.9;phishing;1;6;;22.4;phishing;1;6;;6.4;legitimate;1;6;;6.4;legitimate;1;6;;10.2;legitimate;1;6;;5.9;legitimate;1;6;;11;6;4;6;5;5;5;6;;1;1;1;0.88;0.75;1;5;5.88;1;No;Yes
ce70d42b;b;[redacted];567;25–34 tahun;Perempuan;Sarjana (S1);Layanan Pelanggan;1–2 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;92.6;phishing;1;6;A|C;19.3;phishing;1;6;A|B;51.1;phishing;1;6;A;43.2;legitimate;1;6;;24.2;legitimate;1;6;;17.9;legitimate;1;6;;6.6;legitimate;1;6;;9.5;phishing;1;6;;23.1;phishing;1;6;;11.6;phishing;1;6;;10.2;legitimate;0;6;;26.7;legitimate;1;6;;9.2;legitimate;1;6;;5.2;legitimate;1;6;;12.8;legitimate;1;6;;10.2;6;6;6;4;6;5;6;;1;1;1;0.88;0.75;1;6;6;1;No;Yes
84c3c907;b;[redacted];539;25–34 tahun;Perempuan;Sarjana (S1);Akademik / Pengajaran;3–5 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;legitimate;0;4;B;18.4;phishing;1;5;A;18.4;phishing;1;4;B;117.6;legitimate;0;4;B;12.8;legitimate;1;5;;15;legitimate;1;5;;53.2;legitimate;1;3;;7.3;phishing;0;3;;18.1;legitimate;0;5;;10.9;legitimate;0;4;;14.1;legitimate;0;6;;12.9;legitimate;0;4;;8.3;legitimate;1;4;;8.2;phishing;0;4;;10.3;phishing;0;1;;9.7;phishing;0;2;;7.2;4;6;5;6;6;4;4;Cukup membingungkan karna memang tidak pernah mendapat edukasi tentang materi ini;0.62;0.5;0.75;0.12;0;0.25;4.12;3.75;1;No;Yes
